['1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*Z3*Z4', '-4*X0*X2', '8*X3*Z4', '-8*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*Z3*Z4', '-4*X0*X2', '8*X1*Z4', '-8*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*Z3*Z4', '-4*X0*X2', '8*X1*X3', '-8*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*Z3*Z4', '-4*X0*X2', '8*Z0*Z4', '-8*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*Z3*Z4', '-4*X0*X2', '8*Z0*X3', '-8*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*Z3*Z4', '-4*X0*X2', '8*Z0*X1', '-8*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X2*Z4', '-4*X0*Z3', '8*X3*Z4', '-8*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X2*Z4', '-4*X0*Z3', '8*X1*Z4', '-8*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X2*Z4', '-4*X0*Z3', '8*X1*X3', '-8*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X2*Z4', '-4*X0*Z3', '8*Z0*Z4', '-8*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X2*Z4', '-4*X0*Z3', '8*Z0*X3', '-8*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X2*Z4', '-4*X0*Z3', '8*Z0*X1', '-8*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X2*Z3', '-4*X0*Z4', '8*X3*Z4', '-8*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X2*Z3', '-4*X0*Z4', '8*X1*Z4', '-8*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X2*Z3', '-4*X0*Z4', '8*X1*X3', '-8*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X2*Z3', '-4*X0*Z4', '8*Z0*Z4', '-8*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X2*Z3', '-4*X0*Z4', '8*Z0*X3', '-8*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X2*Z3', '-4*X0*Z4', '8*Z0*X1', '-8*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X0*Z4', '-4*X2*Z3', '8*X3*Z4', '-8*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X0*Z4', '-4*X2*Z3', '8*X1*Z4', '-8*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X0*Z4', '-4*X2*Z3', '8*X1*X3', '-8*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '2*Z3*X4', '-2*X1*Z2', '4*X0*Z4', '-4*X2*Z3', '8*Z0*Z4', '-8*X1*X3']
